ID,Ship Name,Rarity,Nation,Type,Luck,Armor,Speed,Health,Firepower,Anti-Air,Torpedo,Evasion,Aviation,Oil Consumption,Reload,Anti-Submarine,Oxygen,Ammunition,Accuracy
070,Long Island,Rare,Eagle Union,CVL,68,Medium,16,4246,0,235,0,57,266,10,172,94,0,0,76
071,Bogue,Normal,Eagle Union,CVL,78,Medium,18,3576,0,230,0,58,264,9,169,139,0,0,76
072,Langley,Normal,Eagle Union,CVL,32,Medium,15,4037,0,224,0,69,193,9,116,90,0,0,72
073,Lexington,Elite,Eagle Union,CV,35,Medium,33,6269,0,277,0,49,377,12,104,0,0,0,83
074,Saratoga,Elite,Eagle Union,CV,66,Medium,33,6269,0,277,0,49,377,12,104,0,0,0,83
075,Ranger,Normal,Eagle Union,CVL,71,Medium,29,4325,0,226,0,64,227,9,123,101,0,0,80
076,Yorktown,Elite,Eagle Union,CV,39,Medium,32,5250,0,290,0,48,376,12,115,0,0,0,85
077,Enterprise,Super Rare,Eagle Union,CV,93,Medium,32,5610,0,301,0,55,409,13,125,0,0,0,95
078,Hornet,Elite,Eagle Union,CV,15,Medium,32,5274,0,281,0,48,381,12,115,0,0,0,85
079,Wasp,Rare,Eagle Union,CV,20,Medium,29,4430,0,249,0,45,313,11,111,0,0,0,79
140,Hermes,Normal,Royal Navy,CVL,41,Medium,25,3760,0,226,0,58,266,9,164,97,0,0,72
142,Unicorn,Elite,Royal Navy,CVL,78,Medium,24,4830,0,245,0,58,291,11,171,102,0,0,74
143,Eagle,Elite,Royal Navy,CV,40,Medium,24,5601,203,281,0,41,351,12,106,0,0,0,80
144,Ark Royal,Elite,Royal Navy,CV,87,Medium,31,5531,0,281,0,46,379,12,111,0,0,0,91
145,Illustrious,Super Rare,Royal Navy,CV,44,Heavy,30,5951,0,271,0,46,379,13,111,0,0,0,81
146,Victorious,Super Rare,Royal Navy,CV,82,Heavy,30,5672,0,264,0,46,389,13,98,0,0,0,80
