ID,Ship Name,Rarity,Nation,Type,Luck,Armor,Speed,Health,Firepower,Anti-Air,Torpedo,Evasion,Aviation,Oil Consumption,Reload,Anti-Submarine,Oxygen,Ammunition,Accuracy
052,Nevada,Normal,Eagle Union,BB,75,Heavy,20,6974,378,202,0,26,0,12,132,0,0,0,68
053,Oklahoma,Normal,Eagle Union,BB,38,Heavy,20,6956,378,202,0,26,0,12,132,0,0,0,68
054,Pennsylvania,Rare,Eagle Union,BB,72,Heavy,21,7194,390,212,0,27,0,13,137,0,0,0,70
055,Arizona,Elite,Eagle Union,BB,17,Heavy,21,7137,400,219,0,27,0,14,139,0,0,0,70
058,Tennessee,Rare,Eagle Union,BB,51,Heavy,21,7385,391,211,0,28,0,13,139,0,0,0,69
059,California,Rare,Eagle Union,BB,36,Heavy,21,7385,391,211,0,28,0,13,139,0,0,0,69
060,Colorado,Elite,Eagle Union,BB,67,Heavy,21,7456,409,216,0,30,0,14,149,0,0,0,69
061,Maryland,Elite,Eagle Union,BB,70,Heavy,21,7514,405,216,0,30,0,14,146,0,0,0,64
062,West Virginia,Elite,Eagle Union,BB,61,Heavy,21,7456,409,216,0,30,0,14,149,0,0,0,70
063,North Carolina,Super Rare,Eagle Union,BB,81,Heavy,28,7852,421,400,0,33,0,15,159,0,0,0,70
064,Washington,Super Rare,Eagle Union,BB,89,Heavy,28,8080,421,400,0,33,0,15,159,0,0,0,70
065,South Dakota,Super Rare,Eagle Union,BB,76,Heavy,27,8031,414,400,0,33,0,15,159,0,0,0,72
066,Indiana,Super Rare,Eagle Union,BB,62,Heavy,27,8031,422,395,0,33,0,15,169,0,0,0,70
068,New Jersey,Ultra Rare,Eagle Union,BB,72,Heavy,33,9520,447,430,0,39,0,17,170,0,0,0,74
127,Renown,Elite,Royal Navy,BC,85,Medium,32,6207,376,276,0,37,0,13,156,0,0,0,72
128,Repulse,Rare,Royal Navy,BC,28,Medium,31,6032,355,268,0,35,0,12,152,0,0,0,68
129,Hood,Super Rare,Royal Navy,BC,38,Medium,31,8445,343,323,0,37,0,14,159,0,0,0,68
130,Queen Elizabeth,Elite,Royal Navy,BB,25,Heavy,24,7512,403,212,0,33,0,14,145,0,0,0,68
131,Warspite,Super Rare,Royal Navy,BB,90,Heavy,24,7783,426,220,0,33,0,15,159,0,0,0,75
132,Nelson,Elite,Royal Navy,BB,66,Heavy,23,7654,407,219,0,33,0,14,149,0,0,0,70
133,Rodney,Elite,Royal Navy,BB,81,Heavy,23,7630,407,219,0,31,0,14,149,0,0,0,70
134,King George V,Super Rare,Royal Navy,BB,77,Heavy,28,7970,423,264,0,35,0,15,156,0,0,0,70
135,Prince of Wales,Super Rare,Royal Navy,BB,19,Heavy,28,7967,422,230,0,35,0,15,156,0,0,0,69
136,Duke of York,Super Rare,Royal Navy,BB,73,Heavy,28,7967,421,225,0,35,0,15,153,0,0,0,70
137,Vanguard,Ultra Rare,Royal Navy,BB,52,Heavy,30,9466,417,426,0,37,0,17,176,0,0,0,78
138,Lion,Ultra Rare,Royal Navy,BB,50,Heavy,28,8433,458,241,0,56,0,17,179,0,0,0,68
149,Erebus,Elite,Royal Navy,BM,91,Light,12,3642,282,171,0,61,0,10,145,0,0,0,81
150,Terror,Elite,Royal Navy,BM,19,Light,12,3642,282,171,0,61,0,10,145,0,0,0,81
204,Kongou,Elite,Sakura Empire,BC,43,Medium,30,6604,367,273,0,37,0,14,159,0,0,0,70
205,Hiei,Elite,Sakura Empire,BC,37,Medium,30,6604,367,273,0,37,0,14,160,0,0,0,68
206,Haruna,Elite,Sakura Empire,BC,47,Medium,30,6604,360,273,0,37,0,14,159,0,0,0,68
207,Kirishima,Elite,Sakura Empire,BC,37,Medium,30,6604,367,273,0,37,0,14,160,0,0,0,68
208,Fusou,Rare,Sakura Empire,BB,13,Heavy,23,6916,390,222,0,31,0,13,138,0,0,0,66
209,Yamashiro,Rare,Sakura Empire,BB,14,Heavy,23,7307,390,222,0,31,0,13,138,0,0,0,66
210,Ise,Rare,Sakura Empire,BB,60,Heavy,23,7124,398,230,0,31,0,13,141,0,0,0,70
211,Hyuuga,Rare,Sakura Empire,BB,60,Heavy,23,7124,398,230,0,31,0,13,141,0,0,0,70
212,Nagato,Super Rare,Sakura Empire,BB,71,Heavy,25,8117,419,183,0,37,0,15,146,0,0,0,70
213,Mutsu,Elite,Sakura Empire,BB,34,Heavy,25,7896,409,185,0,34,0,14,145,0,0,0,71
214,Kii,Super Rare,Sakura Empire,BB,39,Heavy,28,7945,421,368,283,37,0,15,145,0,0,0,71
215,Tosa,Super Rare,Sakura Empire,BB,12,Heavy,26,8056,423,200,217,36,0,15,145,0,0,0,71
217,Musashi,Ultra Rare,Sakura Empire,BB,33,Heavy,26,10860,473,230,0,36,0,17,154,0,0,0,72
248,Scharnhorst,Elite,Iron Blood,BC,43,Medium,31,7455,366,248,154,38,0,13,157,0,0,0,66
249,Gneisenau,Elite,Iron Blood,BC,64,Medium,31,7455,366,248,154,38,0,13,157,0,0,0,66
250,Bismarck,Super Rare,Iron Blood,BB,32,Heavy,30,8762,423,208,0,33,0,15,152,0,0,0,73
