ID,Ship Name,Rarity,Nation,Type,Luck,Armor,Speed,Health,Firepower,Anti-Air,Torpedo,Evasion,Aviation,Oil Consumption,Reload,Anti-Submarine,Oxygen,Ammunition,Accuracy
070,Long Island,Rare,Eagle Union,CVL,68,Medium,16,782,0,48,0,15,52,3,67,24,0,0,28
071,Bogue,Normal,Eagle Union,CVL,78,Medium,18,654,0,47,0,15,52,2,66,36,0,0,28
072,Langley,Normal,Eagle Union,CVL,32,Medium,15,744,0,46,0,15,38,2,45,23,0,0,26
073,Lexington,Elite,Eagle Union,CV,35,Medium,33,1183,0,57,0,13,75,4,41,0,0,0,32
074,Saratoga,Elite,Eagle Union,CV,66,Medium,33,1183,0,57,0,13,75,4,41,0,0,0,32
075,Ranger,Normal,Eagle Union,CVL,71,Medium,29,797,0,46,0,19,44,2,48,26,0,0,29
076,Yorktown,Elite,Eagle Union,CV,39,Medium,32,975,0,60,0,13,75,4,45,0,0,0,33
077,Enterprise,Super Rare,Eagle Union,CV,93,Medium,32,1042,0,62,0,19,83,4,49,0,0,0,37
078,Hornet,Elite,Eagle Union,CV,15,Medium,32,979,0,58,0,13,76,4,45,0,0,0,33
079,Wasp,Rare,Eagle Union,CV,20,Medium,29,816,0,51,0,12,62,3,43,0,0,0,30
140,Hermes,Normal,Royal Navy,CVL,41,Medium,25,687,0,46,0,18,52,2,64,25,0,0,26
142,Unicorn,Elite,Royal Navy,CVL,78,Medium,24,890,0,50,0,18,57,3,66,26,0,0,27
143,Eagle,Elite,Royal Navy,CV,40,Medium,24,1024,40,58,0,10,70,4,41,0,0,0,29
144,Ark Royal,Elite,Royal Navy,CV,87,Medium,31,1027,0,58,0,13,76,4,43,0,0,0,35
145,Illustrious,Super Rare,Royal Navy,CV,44,Heavy,30,1123,0,56,0,13,76,4,43,0,0,0,31
146,Victorious,Super Rare,Royal Navy,CV,82,Heavy,30,1053,0,54,0,13,78,4,38,0,0,0,31
147,Formidable,Super Rare,Royal Navy,CV,75,Heavy,30,1090,0,54,0,12,79,4,43,0,0,0,31
148,Glorious,Elite,Royal Navy,CV,32,Medium,30,1062,0,55,0,12,68,4,40,0,0,0,30
218,Hiyou,Rare,Sakura Empire,CVL,43,Medium,25,860,0,46,0,19,52,3,58,19,0,0,25
219,Junyou,Rare,Sakura Empire,CVL,80,Medium,25,860,0,46,0,19,52,3,58,19,0,0,25
220,Houshou,Elite,Sakura Empire,CVL,79,Medium,25,599,0,48,0,18,53,3,65,22,0,0,26
