ID,Ship Name,Rarity,Nation,Type,Luck,Armor,Speed,Health,Firepower,Anti-Air,Torpedo,Evasion,Aviation,Oil Consumption,Reload,Anti-Submarine,Oxygen,Ammunition,Accuracy
001,Universal Bulin,Elite,Universal,DD,100,Light,35,100,10,10,10,50,10,2,50,20,0,0,50
002,Prototype Bulin MKII,Super Rare,Universal,DD,100,Light,35,100,10,10,10,50,10,2,50,20,0,0,50
003,Specialized Bulin Custom MKIII,Ultra Rare,Universal,DD,100,Light,35,100,10,10,10,50,10,2,50,20,0,0,50
004,Dewey,Rare,Eagle Union,DD,72,Light,44,265,14,34,52,60,0,2,69,45,0,0,63
005,Cassin,Normal,Eagle Union,DD,66,Light,44,280,14,31,53,60,0,1,70,44,0,0,67
006,Downes,Normal,Eagle Union,DD,63,Light,44,280,14,31,53,60,0,1,70,44,0,0,67
007,Gridley,Rare,Eagle Union,DD,72,Light,46,292,14,32,84,60,0,2,74,49,0,0,71
008,Craven,Normal,Eagle Union,DD,72,Light,46,286,13,32,82,60,0,1,72,47,0,0,71
009,McCall,Normal,Eagle Union,DD,69,Light,43,278,13,32,82,60,0,1,72,47,0,0,71
010,Maury,Elite,Eagle Union,DD,69,Light,43,292,14,33,86,73,0,2,76,50,0,0,71
011,Fletcher,Rare,Eagle Union,DD,73,Light,43,338,16,32,53,60,0,2,72,51,0,0,69
013,Charles Ausburne,Elite,Eagle Union,DD,82,Light,42,343,16,33,54,59,0,2,79,52,0,0,76
014,Thatcher,Rare,Eagle Union,DD,65,Light,42,331,16,32,53,59,0,2,77,51,0,0,72
015,Aulick,Normal,Eagle Union,DD,62,Light,42,325,15,32,52,59,0,1,75,50,0,0,72
016,Foote,Normal,Eagle Union,DD,67,Light,42,325,15,32,52,59,0,1,72,50,0,0,72
017,Spence,Normal,Eagle Union,DD,20,Light,42,325,15,32,52,59,0,1,72,50,0,0,72
018,Benson,Rare,Eagle Union,DD,72,Light,45,294,16,32,60,60,0,2,75,47,0,0,67
019,Laffey,Elite,Eagle Union,DD,18,Light,45,319,19,33,56,60,0,2,81,49,0,0,75
026,Sims,Rare,Eagle Union,DD,45,Light,42,293,15,32,53,59,0,2,75,51,0,0,65
027,Hammann,Rare,Eagle Union,DD,47,Light,42,293,15,32,53,59,0,2,75,51,0,0,65
028,Eldridge,Super Rare,Eagle Union,DD,75,Light,25,277,15,34,72,78,0,3,85,56,0,0,71
081,Amazon,Rare,Royal Navy,DD,72,Light,44,221,12,29,68,79,0,2,70,43,0,0,68
082,Acasta,Rare,Royal Navy,DD,43,Light,42,221,13,29,68,78,0,2,71,42,0,0,63
083,Ardent,Rare,Royal Navy,DD,35,Light,42,221,13,29,68,78,0,2,71,42,0,0,63
086,Beagle,Normal,Royal Navy,DD,71,Light,42,218,12,28,67,78,0,1,70,47,0,0,64
087,Bulldog,Normal,Royal Navy,DD,65,Light,42,218,12,28,67,78,0,1,70,48,0,0,64
088,Comet,Normal,Royal Navy,DD,54,Light,43,219,13,28,66,78,0,1,70,51,0,0,65
089,Crescent,Normal,Royal Navy,DD,35,Light,43,219,13,28,66,78,0,1,70,51,0,0,65
090,Cygnet,Normal,Royal Navy,DD,72,Light,43,219,13,28,66,78,0,1,70,52,0,0,65
091,Foxhound,Normal,Royal Navy,DD,68,Light,42,221,13,28,66,78,0,1,70,53,0,0,66
092,Fortune,Rare,Royal Navy,DD,68,Light,42,226,13,29,67,78,0,2,72,54,0,0,66
093,Grenville,Elite,Royal Navy,DD,32,Light,43,245,16,31,69,78,0,2,74,53,0,0,67
094,Glowworm,Elite,Royal Navy,DD,36,Light,43,228,15,31,70,78,0,2,74,53,0,0,68
096,Hardy,Elite,Royal Navy,DD,40,Light,43,245,15,29,71,78,0,2,74,47,0,0,72
100,Hunter,Rare,Royal Navy,DD,24,Light,43,221,14,29,67,78,0,2,72,46,0,0,70
101,Javelin,Elite,Royal Navy,DD,65,Light,43,255,15,30,71,78,0,2,76,53,0,0,71
102,Juno,Rare,Royal Navy,DD,40,Light,43,248,14,29,69,78,0,2,74,52,0,0,71
