ID,Ship Name,Rarity,Nation,Type,Luck,Armor,Speed,Health,Firepower,Anti-Air,Torpedo,Evasion,Aviation,Oil Consumption,Reload,Anti-Submarine,Oxygen,Ammunition,Accuracy
001,Universal Bulin,Elite,Universal,DD,100,Light,35,237,23,23,23,118,23,3,118,34,0,0,118
002,Prototype Bulin MKII,Super Rare,Universal,DD,100,Light,35,237,23,23,23,118,23,3,118,34,0,0,118
003,Specialized Bulin Custom MKIII,Ultra Rare,Universal,DD,100,Light,35,237,23,23,23,118,23,3,118,34,0,0,118
004,Dewey,Rare,Eagle Union,DD,72,Light,44,1687,75,189,283,210,0,8,191,187,0,0,194
005,Cassin,Normal,Eagle Union,DD,66,Light,44,1777,77,171,287,210,0,7,193,184,0,0,205
006,Downes,Normal,Eagle Union,DD,63,Light,44,1777,77,171,287,210,0,7,193,184,0,0,205
007,Gridley,Rare,Eagle Union,DD,72,Light,46,1854,74,177,444,210,0,8,204,204,0,0,218
008,Craven,Normal,Eagle Union,DD,72,Light,46,1818,73,175,434,210,0,7,199,195,0,0,218
009,McCall,Normal,Eagle Union,DD,69,Light,43,1766,73,175,434,210,0,7,199,195,0,0,218
010,Maury,Elite,Eagle Union,DD,69,Light,43,1853,77,182,454,256,0,9,210,206,0,0,218
011,Fletcher,Rare,Eagle Union,DD,73,Light,43,2128,87,176,287,207,0,8,199,209,0,0,212
013,Charles Ausburne,Elite,Eagle Union,DD,82,Light,42,2164,88,182,295,205,0,9,218,215,0,0,233
014,Thatcher,Rare,Eagle Union,DD,65,Light,42,2086,87,176,287,205,0,8,212,209,0,0,222
015,Aulick,Normal,Eagle Union,DD,62,Light,42,2046,84,174,282,205,0,7,207,206,0,0,222
016,Foote,Normal,Eagle Union,DD,67,Light,42,2046,84,174,282,205,0,7,199,206,0,0,222
017,Spence,Normal,Eagle Union,DD,20,Light,42,2046,84,174,282,205,0,7,199,206,0,0,222
018,Benson,Rare,Eagle Union,DD,72,Light,45,1870,89,175,324,210,0,8,207,196,0,0,207
019,Laffey,Elite,Eagle Union,DD,18,Light,45,2029,102,180,306,210,0,9,223,202,0,0,230
026,Sims,Rare,Eagle Union,DD,45,Light,42,1859,82,175,290,206,0,8,207,211,0,0,200
027,Hammann,Rare,Eagle Union,DD,47,Light,42,1859,82,175,290,206,0,8,207,211,0,0,200
028,Eldridge,Super Rare,Eagle Union,DD,75,Light,25,1762,82,187,386,271,0,10,234,229,0,0,218
081,Amazon,Rare,Royal Navy,DD,72,Light,44,1404,66,157,365,272,0,8,194,179,0,0,210
082,Acasta,Rare,Royal Navy,DD,43,Light,42,1404,69,157,365,269,0,8,196,176,0,0,194
083,Ardent,Rare,Royal Navy,DD,35,Light,42,1404,69,157,365,269,0,8,196,176,0,0,194
086,Beagle,Normal,Royal Navy,DD,71,Light,42,1382,66,153,359,269,0,7,193,195,0,0,197
087,Bulldog,Normal,Royal Navy,DD,65,Light,42,1382,66,153,359,269,0,7,193,200,0,0,197
088,Comet,Normal,Royal Navy,DD,54,Light,43,1393,69,153,354,270,0,7,193,209,0,0,200
089,Crescent,Normal,Royal Navy,DD,35,Light,43,1393,69,153,354,270,0,7,193,209,0,0,200
090,Cygnet,Normal,Royal Navy,DD,72,Light,43,1393,69,153,354,270,0,7,193,213,0,0,200
091,Foxhound,Normal,Royal Navy,DD,68,Light,42,1406,72,153,355,269,0,7,194,217,0,0,203
092,Fortune,Rare,Royal Navy,DD,68,Light,42,1436,73,157,362,269,0,8,197,221,0,0,203
093,Grenville,Elite,Royal Navy,DD,32,Light,43,1555,87,168,369,270,0,9,204,218,0,0,207
094,Glowworm,Elite,Royal Navy,DD,36,Light,43,1446,80,168,375,270,0,9,204,218,0,0,210
096,Hardy,Elite,Royal Navy,DD,40,Light,43,1555,82,160,379,270,0,9,204,195,0,0,222
100,Hunter,Rare,Royal Navy,DD,24,Light,43,1404,77,160,360,270,0,8,199,190,0,0,215
101,Javelin,Elite,Royal Navy,DD,65,Light,43,1619,82,164,379,270,0,9,210,218,0,0,218
102,Juno,Rare,Royal Navy,DD,40,Light,43,1573,77,159,369,270,0,8,204,213,0,0,218
103,Vampire,Elite,Royal Navy,DD,42,Light,40,1346,72,159,381,252,0,9,199,210,0,0,187
151,Fubuki,Elite,Sakura Empire,DD,34,Light,45,1842,63,149,516,246,0,9,216,198,0,0,206
152,Shirayuki,Elite,Sakura Empire,DD,41,Light,45,1842,69,149,514,251,0,9,216,202,0,0,206
154,Miyuki,Elite,Sakura Empire,DD,10,Light,45,1842,66,149,515,251,0,9,216,195,0,0,206
155,Ayanami,Elite,Sakura Empire,DD,36,Light,45,1842,66,149,516,251,0,9,216,206,0,0,206
159,Akatsuki,Rare,Sakura Empire,DD,45,Light,45,1790,61,153,499,251,0,8,213,193,0,0,201
160,Hibiki,Elite,Sakura Empire,DD,88,Light,45,1842,63,157,531,251,0,9,218,198,0,0,201
161,Ikazuchi,Rare,Sakura Empire,DD,52,Light,45,1790,61,153,499,251,0,8,213,172,0,0,201
162,Inazuma,Rare,Sakura Empire,DD,57,Light,45,1790,61,153,499,251,0,8,213,172,0,0,201
163,Shiratsuyu,Rare,Sakura Empire,DD,41,Light,40,1754,66,153,516,246,0,8,199,168,0,0,205
164,Yuudachi,Super Rare,Sakura Empire,DD,32,Light,40,1873,71,160,551,246,0,10,229,203,0,0,215
165,Shigure,Elite,Sakura Empire,DD,84,Light,40,1806,66,153,531,246,0,9,215,184,0,0,205
166,Yukikaze,Super Rare,Sakura Empire,DD,93,Light,42,2280,69,164,532,248,0,10,226,213,0,0,219
167,Kagerou,Rare,Sakura Empire,DD,25,Light,42,1931,66,153,518,248,0,8,204,192,0,0,207
168,Shiranui,Normal,Sakura Empire,DD,25,Light,42,1893,64,148,508,248,0,7,199,176,0,0,207
170,Nowaki,Elite,Sakura Empire,DD,72,Light,42,2197,66,157,532,246,0,9,213,194,0,0,215
