ID,Ship Name,Rarity,Nation,Type,Luck,Armor,Speed,Health,Firepower,Anti-Air,Torpedo,Evasion,Aviation,Oil Consumption,Reload,Anti-Submarine,Oxygen,Ammunition,Accuracy
338,I-19,Super Rare,Sakura Empire,SS,19,Light,18,1955,56,0,522,39,0,7,104,0,200,2,152
339,I-26,Elite,Sakura Empire,SS,26,Light,18,1866,57,0,494,39,0,6,103,0,218,2,146
340,I-58,Elite,Sakura Empire,SS,58,Light,14,1878,56,0,479,32,0,6,75,0,268,2,150
341,U-81,Super Rare,Iron Blood,SS,23,Light,14,1181,47,0,528,32,0,7,103,0,188,2,156
342,Dace,Elite,Eagle Union,SS,68,Light,16,1527,67,0,479,36,0,6,85,0,243,2,159
343,U-47,Super Rare,Iron Blood,SS,32,Light,14,1170,45,0,504,32,0,7,104,0,193,2,159
344,U-557,Elite,Iron Blood,SS,18,Light,14,1139,41,0,474,32,0,6,79,0,188,2,148
350,Surcouf,Elite,Iris Libre,SS,60,Light,14,2544,131,0,484,20,0,6,72,0,180,2,149
358,Albacore,Super Rare,Eagle Union,SS,79,Light,16,1736,57,0,500,36,0,7,90,0,243,2,172
381,I-13,Super Rare,Sakura Empire,SSV,20,Light,13,2399,47,0,489,31,239,7,103,0,198,2,153
386,U-556,Elite,Iron Blood,SS,45,Light,14,1139,37,0,475,32,0,6,79,0,188,2,159
387,U-73,Elite,Iron Blood,SS,35,Light,14,1129,43,0,497,32,0,6,79,0,188,2,149
396,I-25,Elite,Sakura Empire,SS,25,Light,18,1757,62,0,489,39,0,6,66,0,218,2,159
397,I-56,Elite,Sakura Empire,SS,46,Light,14,1878,56,0,477,32,0,6,59,0,248,2,148
398,I-168,Super Rare,Sakura Empire,SS,22,Light,18,1799,62,0,513,37,0,7,109,0,195,2,154
399,U-101,Super Rare,Iron Blood,SS,68,Light,14,1170,45,0,504,32,0,7,104,0,190,2,156
400,U-522,Elite,Iron Blood,SS,22,Light,14,1350,41,0,480,32,0,6,79,0,228,2,159
402,Cavalla,Super Rare,Eagle Union,SS,78,Light,16,1714,62,0,499,36,0,7,88,0,243,2,172
416,U-110,Elite,Iron Blood,SS,28,Light,14,1320,45,0,475,32,0,6,78,0,208,2,159
446,Bluegill,Elite,Eagle Union,SS,65,Light,16,1527,67,0,475,36,0,6,82,0,243,2,157
467,U-96,Super Rare,Iron Blood,SS,62,Light,14,1179,50,0,510,32,0,7,103,0,188,2,164
477,Albacore µ,Elite,Eagle Union,SS,79,Light,16,1664,56,0,483,36,0,6,87,0,243,2,172
484,U-37,Super Rare,Iron Blood,SS,72,Light,14,1401,43,0,514,32,0,7,104,0,218,2,159
492,U-410,Elite,Iron Blood,SS,50,Light,14,1139,41,0,478,32,0,6,79,0,188,2,153
503,Torricelli,Elite,Sardegna Empire,SS,16,Light,14,1370,37,0,475,32,0,6,79,0,208,2,159
513,Archerfish,Super Rare,Eagle Union,SS,90,Light,16,1736,62,0,504,36,0,7,90,0,243,2,172
519,Nautilus,Elite,Eagle Union,SS,69,Light,13,2219,107,0,474,31,0,6,87,0,263,2,172
528,U-1206,Elite,Iron Blood,SS,20,Light,18,1136,43,0,475,32,0,6,80,0,198,2,156
558,Leonardo da Vinci,Super Rare,Sardegna Empire,SS,57,Light,18,1541,45,0,512,32,0,7,94,0,232,2,171
620,Flasher,Super Rare,Eagle Union,SS,82,Light,21,1725,56,0,501,36,0,7,90,0,243,2,174
650,U-31,Elite,Iron Blood,SS,32,Light,18,1051,43,0,484,32,0,6,82,0,188,2,148
658,Herring,Elite,Eagle Union,SS,54,Light,20,1527,67,0,480,34,0,6,87,0,243,2,175
679,Maggiore Baracca,Super Rare,Sardegna Empire,SS,19,Light,18,1541,41,0,504,32,0,7,94,0,232,2,161
695,U-552,Super Rare,Iron Blood,SS,52,Light,14,1179,57,0,533,32,0,7,104,0,188,2,179
705,I-404,Ultra Rare,Sakura Empire,SSV,66,Light,15,3382,54,0,510,34,426,9,107,0,268,2,179
10053,Minato Aqua,Super Rare,Hololive,SS,64,Light,18,1517,62,0,512,38,0,8,102,0,268,2,159
10076,Ami Futami,Elite,The Idolmaster,SS,74,Light,23,1363,46,0,487,36,0,6,110,0,248,2,180
10077,Mami Futami,Elite,The Idolmaster,SS,74,Light,23,1363,46,0,487,36,0,6,110,0,248,2,180
10103,Homura,Super Rare,Senran Kagura,SS,87,Light,23,1816,47,0,504,36,0,8,90,0,208,2,182
30021,U-556 META,Super Rare,META,SS,45,Light,18,1597,59,0,527,28,0,8,109,0,208,2,164
